age,total US2, very cold/cold,mixed-humid,mixed-dry/hot-dry,hot-humid,marine
Less than 2 years old,15.8,5.7,4.5,1.5,3.2,0.9
2 to 4 years old,26.2,8.9,7.0,3.1,5.8,1.4
5 to 9 years old,41.0,14.8,11.6,5.1,7.4,2.1
10 to 14 years old,22.2,8.1,6.7,2.1,3.9,1.5
15 to 19 years old,7.4,2.9,2.2,0.7,1.3,0.4
20 or more years old,4.7,1.9,1.3,0.3,0.9,0.3
Do not use a refrigerator,0.8,Q,0.3,Q,0.3,Q
