fridge,total US2, very cold/cold,mixed-humid,mixed-dry/hot-dry,hot-humid,marine
1,82.0,27.9,24.2,9.4,16.2,4.4
2 or more,35.4,14.4,9.2,3.4,6.3,2.2
Do not use a refrigerator,0.8,Q,0.3,Q,0.3,Q
