size,total US2, very cold/cold,mixed-humid,mixed-dry/hot-dry,hot-humid,marine
Half-size or compact,0.9,0.2,0.3,Q,0.2,Q
Small (less than 17.6 cubic feet),6.7,2.4,1.9,0.9,1.2,0.4
Medium (17.6 to 22.5 cubic feet),59.2,22.2,16.0,6.5,11.0,3.5
Large (22.6 to 29.5 cubic feet),48.8,16.9,14.7,5.1,9.6,2.5
Very large (more than 29.5 cubic feet),1.8,0.5,0.5,0.2,0.4,Q
Do not use a refrigerator,0.8,Q,0.3,Q,0.3,Q
,,,,,,
